"Enfermedad","Año","Comunidad","Casos","Tasa notificacion","Hombres","Mujeres","Rango edad","Casos edad"
"Tuberculosis",2024,"España",4280,8.803,"590","309",">=65","899"
"Tuberculosis",2023,"Andalucia",548,6.384,"","","",""
"Tuberculosis",2023,"Aragon",96,7.157,"","","",""
"Tuberculosis",2023,"Asturias",75,7.455,"","","",""
"Tuberculosis",2023,"Baleares",86,7.108,"","","",""
"Tuberculosis",2023,"Canarias",117,5.287,"","","",""
"Tuberculosis",2023,"Cantabria",44,7.478,"","","",""
"Tuberculosis",2023,"Castilla y Leon",171,7.174,"","","",""
"Tuberculosis",2023,"Castilla-La Mancha",141,6.766,"","","",""
"Tuberculosis",2023,"Cataluña",973,12.313,"","","",""
"Tuberculosis",2023,"C. Valenciana",309,5.924,"","","",""
"Tuberculosis",2023,"Extremadura",57,5.406,"","","",""
"Tuberculosis",2023,"Galicia",302,11.188,"","","",""
"Tuberculosis",2023,"Madrid",580,8.44,"","","",""
"Tuberculosis",2023,"Murcia",96,6.187,"","","",""
"Tuberculosis",2023,"Navarra",34,5.058,"","","",""
"Tuberculosis",2023,"País Vasco",242,10.919,"","","",""
"Tuberculosis",2023,"La Rioja",22,6.826,"","","",""
"Tuberculosis",2023,"Ceuta",23,27.693,"","","",""
"Tuberculosis",2023,"Melilla",12,14.036,"","","",""
"Tuberculosis",2023,"España",3929,8.171,"2575","1369","Total","3929"
"Tuberculosis",2023,"España",3929,8.171,"","","0-15","210"
"Tuberculosis",2023,"España",3929,8.171,"","","15-25","377"
"Tuberculosis",2023,"España",3929,8.171,"","","25-35","573"
"Tuberculosis",2023,"España",3929,8.171,"","","35-45","637"
"Tuberculosis",2023,"España",3929,8.171,"","","45-55","697"
"Tuberculosis",2023,"España",3929,8.171,"","","55-65","549"
"Tuberculosis",2023,"España",3929,8.171,"","",">=65","901"
"Tuberculosis",2022,"Andalucia",479,5.628,"","","",""
"Tuberculosis",2022,"Aragon",91,6.851,"","","",""
"Tuberculosis",2022,"Asturias",56,5.572,"","","",""
"Tuberculosis",2022,"Baleares",68,5.729,"","","",""
"Tuberculosis",2022,"Canarias",121,5.536,"","","",""
"Tuberculosis",2022,"Cantabria",37,6.32,"","","",""
"Tuberculosis",2022,"Castilla y Leon",151,6.356,"","","",""
"Tuberculosis",2022,"Castilla-La Mancha",106,5.15,"","","",""
